['May 07, 2020', 'active cases', '31730']['May 07, 2020', 'new cases', '1426']['May 07, 2020', 'new deaths', '189']['May 07, 2020', 'new recoveries', '1426']
['May 08, 2020', 'active cases', '31633']['May 08, 2020', 'new cases', '1512']['May 08, 2020', 'new deaths', '175']['May 08, 2020', 'new recoveries', '1512']
['May 09, 2020', 'active cases', '31897']['May 09, 2020', 'new cases', '1268']['May 09, 2020', 'new deaths', '161']['May 09, 2020', 'new recoveries', '1268']
['May 10, 2020', 'active cases', '32073']['May 10, 2020', 'new cases', '1146']['May 10, 2020', 'new deaths', '123']['May 10, 2020', 'new recoveries', '1146']
['May 11, 2020', 'active cases', '32130']['May 11, 2020', 'new cases', '1133']['May 11, 2020', 'new deaths', '178']['May 11, 2020', 'new recoveries', '1133']
['May 12, 2020', 'active cases', '32136']['May 12, 2020', 'new cases', '1176']['May 12, 2020', 'new deaths', '122']['May 12, 2020', 'new recoveries', '1176']
['May 13, 2020', 'active cases', '31959']['May 13, 2020', 'new cases', '1121']['May 13, 2020', 'new deaths', '176']['May 13, 2020', 'new recoveries', '1121']
['May 14, 2020', 'active cases', '32022']['May 14, 2020', 'new cases', '1123']['May 14, 2020', 'new deaths', '133']['May 14, 2020', 'new recoveries', '1123']
['May 15, 2020', 'active cases', '32262']['May 15, 2020', 'new cases', '1212']['May 15, 2020', 'new deaths', '168']['May 15, 2020', 'new recoveries', '1212']
['May 16, 2020', 'active cases', '32499']['May 16, 2020', 'new cases', '1251']['May 16, 2020', 'new deaths', '90']['May 16, 2020', 'new recoveries', '1251']
['May 17, 2020', 'active cases', '32789']['May 17, 2020', 'new cases', '1138']['May 17, 2020', 'new deaths', '117']['May 17, 2020', 'new recoveries', '1138']
['May 18, 2020', 'active cases', '33078']['May 18, 2020', 'new cases', '1070']['May 18, 2020', 'new deaths', '103']['May 18, 2020', 'new recoveries', '1070']
['May 19, 2020', 'active cases', '33236']['May 19, 2020', 'new cases', '1040']['May 19, 2020', 'new deaths', '60']['May 19, 2020', 'new recoveries', '1040']
['May 20, 2020', 'active cases', '33471']['May 20, 2020', 'new cases', '1030']['May 20, 2020', 'new deaths', '69']['May 20, 2020', 'new recoveries', '1030']
['May 21, 2020', 'active cases', '33596']['May 21, 2020', 'new cases', '1182']['May 21, 2020', 'new deaths', '118']['May 21, 2020', 'new recoveries', '1182']
['May 22, 2020', 'active cases', '33751']['May 22, 2020', 'new cases', '1156']['May 22, 2020', 'new deaths', '122']['May 22, 2020', 'new recoveries', '1156']
['May 23, 2020', 'active cases', '34084']['May 23, 2020', 'new cases', '1141']['May 23, 2020', 'new deaths', '97']['May 23, 2020', 'new recoveries', '1141']
