['May 21, 2020', 'active cases', '221774']['May 21, 2020', 'new cases', '8849']['May 21, 2020', 'new deaths', '127']['May 21, 2020', 'new recoveries', '8849']
['May 22, 2020', 'active cases', '223374']['May 22, 2020', 'new cases', '8894']['May 22, 2020', 'new deaths', '150']['May 22, 2020', 'new recoveries', '8894']
['May 23, 2020', 'active cases', '224558']['May 23, 2020', 'new cases', '9434']['May 23, 2020', 'new deaths', '139']['May 23, 2020', 'new recoveries', '9434']
['May 24, 2020', 'active cases', '227641']['May 24, 2020', 'new cases', '8599']['May 24, 2020', 'new deaths', '153']['May 24, 2020', 'new recoveries', '8599']
['May 25, 2020', 'active cases', '230996']['May 25, 2020', 'new cases', '8946']['May 25, 2020', 'new deaths', '92']['May 25, 2020', 'new recoveries', '8946']
['May 26, 2020', 'active cases', '227406']['May 26, 2020', 'new cases', '8915']['May 26, 2020', 'new deaths', '174']['May 26, 2020', 'new recoveries', '8915']
['May 27, 2020', 'active cases', '224504']['May 27, 2020', 'new cases', '8338']['May 27, 2020', 'new deaths', '161']['May 27, 2020', 'new recoveries', '8338']
['May 28, 2020', 'active cases', '223916']['May 28, 2020', 'new cases', '8371']['May 28, 2020', 'new deaths', '174']['May 28, 2020', 'new recoveries', '8371']
['May 29, 2020', 'active cases', '223992']['May 29, 2020', 'new cases', '8572']['May 29, 2020', 'new deaths', '232']['May 29, 2020', 'new recoveries', '8572']
['May 30, 2020', 'active cases', '224551']['May 30, 2020', 'new cases', '8952']['May 30, 2020', 'new deaths', '181']['May 30, 2020', 'new recoveries', '8952']
['May 31, 2020', 'active cases', '229267']['May 31, 2020', 'new cases', '9268']['May 31, 2020', 'new deaths', '138']['May 31, 2020', 'new recoveries', '9268']
['Jun 01, 2020', 'active cases', '234146']['Jun 01, 2020', 'new cases', '9035']['Jun 01, 2020', 'new deaths', '162']['Jun 01, 2020', 'new recoveries', '9035']
['Jun 02, 2020', 'active cases', '231719']['Jun 02, 2020', 'new cases', '8863']['Jun 02, 2020', 'new deaths', '182']['Jun 02, 2020', 'new recoveries', '8863']
['Jun 03, 2020', 'active cases', '231105']['Jun 03, 2020', 'new cases', '8536']['Jun 03, 2020', 'new deaths', '178']['Jun 03, 2020', 'new recoveries', '8536']
['Jun 04, 2020', 'active cases', '231101']['Jun 04, 2020', 'new cases', '8831']['Jun 04, 2020', 'new deaths', '169']['Jun 04, 2020', 'new recoveries', '8831']
['Jun 05, 2020', 'active cases', '231626']['Jun 05, 2020', 'new cases', '8726']['Jun 05, 2020', 'new deaths', '144']['Jun 05, 2020', 'new recoveries', '8726']
['Jun 06, 2020', 'active cases', '231576']['Jun 06, 2020', 'new cases', '8855']['Jun 06, 2020', 'new deaths', '197']['Jun 06, 2020', 'new recoveries', '8855']
['Jun 07, 2020', 'active cases', '235083']['Jun 07, 2020', 'new cases', '8984']['Jun 07, 2020', 'new deaths', '134']['Jun 07, 2020', 'new recoveries', '8984']
['Jun 08, 2020', 'active cases', '239999']['Jun 08, 2020', 'new cases', '8985']['Jun 08, 2020', 'new deaths', '112']['Jun 08, 2020', 'new recoveries', '8985']
['Jun 09, 2020', 'active cases', '236714']['Jun 09, 2020', 'new cases', '8595']['Jun 09, 2020', 'new deaths', '171']['Jun 09, 2020', 'new recoveries', '8595']
['Jun 10, 2020', 'active cases', '234516']['Jun 10, 2020', 'new cases', '8404']['Jun 10, 2020', 'new deaths', '216']['Jun 10, 2020', 'new recoveries', '8404']
['Jun 11, 2020', 'active cases', '234754']['Jun 11, 2020', 'new cases', '8779']['Jun 11, 2020', 'new deaths', '174']['Jun 11, 2020', 'new recoveries', '8779']
['Jun 12, 2020', 'active cases', '235338']['Jun 12, 2020', 'new cases', '8987']['Jun 12, 2020', 'new deaths', '183']['Jun 12, 2020', 'new recoveries', '8987']
['Jun 13, 2020', 'active cases', '238659']['Jun 13, 2020', 'new cases', '8706']['Jun 13, 2020', 'new deaths', '114']['Jun 13, 2020', 'new recoveries', '8706']
['Jun 14, 2020', 'active cases', '241966']['Jun 14, 2020', 'new cases', '8835']['Jun 14, 2020', 'new deaths', '119']['Jun 14, 2020', 'new recoveries', '8835']
