['Apr 06, 2020', 'active cases', '41457']['Apr 06, 2020', 'new cases', '3555']['Apr 06, 2020', 'new deaths', '832']['Apr 06, 2020', 'new recoveries', '3555']
['Apr 07, 2020', 'active cases', '41386']['Apr 07, 2020', 'new cases', '3432']['Apr 07, 2020', 'new deaths', '1416']['Apr 07, 2020', 'new recoveries', '3432']
['Apr 08, 2020', 'active cases', '42455']['Apr 08, 2020', 'new cases', '3526']['Apr 08, 2020', 'new deaths', '540']['Apr 08, 2020', 'new recoveries', '3526']
['Apr 09, 2020', 'active cases', '43059']['Apr 09, 2020', 'new cases', '3895']['Apr 09, 2020', 'new deaths', '1339']['Apr 09, 2020', 'new recoveries', '3895']
['Apr 10, 2020', 'active cases', '44293']['Apr 10, 2020', 'new cases', '3946']['Apr 10, 2020', 'new deaths', '986']['Apr 10, 2020', 'new recoveries', '3946']
['Apr 11, 2020', 'active cases', '45029']['Apr 11, 2020', 'new cases', '2829']['Apr 11, 2020', 'new deaths', '634']['Apr 11, 2020', 'new recoveries', '2829']
['Apr 12, 2020', 'active cases', '45139']['Apr 12, 2020', 'new cases', '1466']['Apr 12, 2020', 'new deaths', '561']['Apr 12, 2020', 'new recoveries', '1466']
['Apr 13, 2020', 'active cases', '46461']['Apr 13, 2020', 'new cases', '2428']['Apr 13, 2020', 'new deaths', '574']['Apr 13, 2020', 'new recoveries', '2428']
['Apr 14, 2020', 'active cases', '49609']['Apr 14, 2020', 'new cases', '4996']['Apr 14, 2020', 'new deaths', '761']['Apr 14, 2020', 'new recoveries', '4996']
['Apr 15, 2020', 'active cases', '48415']['Apr 15, 2020', 'new cases', '2393']['Apr 15, 2020', 'new deaths', '1437']['Apr 15, 2020', 'new recoveries', '2393']
['Apr 16, 2020', 'active cases', '48206']['Apr 16, 2020', 'new cases', '2400']['Apr 16, 2020', 'new deaths', '752']['Apr 16, 2020', 'new recoveries', '2400']
['Apr 17, 2020', 'active cases', '46206']['Apr 17, 2020', 'new cases', '368']['Apr 17, 2020', 'new deaths', '760']['Apr 17, 2020', 'new recoveries', '368']
['Apr 18, 2020', 'active cases', '46337']['Apr 18, 2020', 'new cases', '2335']['Apr 18, 2020', 'new deaths', '641']['Apr 18, 2020', 'new recoveries', '2335']
