['Apr 29, 2020', 'active cases', '34647']['Apr 29, 2020', 'new cases', '1627']['Apr 29, 2020', 'new deaths', '154']['Apr 29, 2020', 'new recoveries', '1627']
['Apr 30, 2020', 'active cases', '32860']['Apr 30, 2020', 'new cases', '1470']['Apr 30, 2020', 'new deaths', '157']['Apr 30, 2020', 'new recoveries', '1470']
['May 01, 2020', 'active cases', '30415']['May 01, 2020', 'new cases', '1068']['May 01, 2020', 'new deaths', '113']['May 01, 2020', 'new recoveries', '1068']
['May 02, 2020', 'active cases', '29129']['May 02, 2020', 'new cases', '890']['May 02, 2020', 'new deaths', '76']['May 02, 2020', 'new recoveries', '890']
['May 03, 2020', 'active cases', '28172']['May 03, 2020', 'new cases', '697']['May 03, 2020', 'new deaths', '54']['May 03, 2020', 'new recoveries', '697']
['May 04, 2020', 'active cases', '26433']['May 04, 2020', 'new cases', '488']['May 04, 2020', 'new deaths', '127']['May 04, 2020', 'new recoveries', '488']
['May 05, 2020', 'active cases', '24888']['May 05, 2020', 'new cases', '855']['May 05, 2020', 'new deaths', '0']['May 05, 2020', 'new recoveries', '855']
['May 06, 2020', 'active cases', '23164']['May 06, 2020', 'new cases', '1155']['May 06, 2020', 'new deaths', '283']['May 06, 2020', 'new recoveries', '1155']
['May 07, 2020', 'active cases', '22111']['May 07, 2020', 'new cases', '1268']['May 07, 2020', 'new deaths', '117']['May 07, 2020', 'new recoveries', '1268']
['May 08, 2020', 'active cases', '21351']['May 08, 2020', 'new cases', '1158']['May 08, 2020', 'new deaths', '118']['May 08, 2020', 'new recoveries', '1158']
['May 09, 2020', 'active cases', '20448']['May 09, 2020', 'new cases', '736']['May 09, 2020', 'new deaths', '39']['May 09, 2020', 'new recoveries', '736']
['May 10, 2020', 'active cases', '19883']['May 10, 2020', 'new cases', '555']['May 10, 2020', 'new deaths', '20']['May 10, 2020', 'new recoveries', '555']
['May 11, 2020', 'active cases', '19271']['May 11, 2020', 'new cases', '697']['May 11, 2020', 'new deaths', '92']['May 11, 2020', 'new recoveries', '697']
['May 12, 2020', 'active cases', '18206']['May 12, 2020', 'new cases', '595']['May 12, 2020', 'new deaths', '77']['May 12, 2020', 'new recoveries', '595']
['May 13, 2020', 'active cases', '17510']['May 13, 2020', 'new cases', '927']['May 13, 2020', 'new deaths', '123']['May 13, 2020', 'new recoveries', '927']
['May 14, 2020', 'active cases', '16720']['May 14, 2020', 'new cases', '877']['May 14, 2020', 'new deaths', '67']['May 14, 2020', 'new recoveries', '877']
['May 15, 2020', 'active cases', '15971']['May 15, 2020', 'new cases', '724']['May 15, 2020', 'new deaths', '73']['May 15, 2020', 'new recoveries', '724']
['May 16, 2020', 'active cases', '15590']['May 16, 2020', 'new cases', '545']['May 16, 2020', 'new deaths', '26']['May 16, 2020', 'new recoveries', '545']
['May 17, 2020', 'active cases', '15175']['May 17, 2020', 'new cases', '407']['May 17, 2020', 'new deaths', '22']['May 17, 2020', 'new recoveries', '407']
['May 18, 2020', 'active cases', '14539']['May 18, 2020', 'new cases', '638']['May 18, 2020', 'new deaths', '74']['May 18, 2020', 'new recoveries', '638']
['May 19, 2020', 'active cases', '13907']['May 19, 2020', 'new cases', '538']['May 19, 2020', 'new deaths', '70']['May 19, 2020', 'new recoveries', '538']
['May 20, 2020', 'active cases', '13334']['May 20, 2020', 'new cases', '704']['May 20, 2020', 'new deaths', '77']['May 20, 2020', 'new recoveries', '704']
['May 21, 2020', 'active cases', '12685']['May 21, 2020', 'new cases', '490']['May 21, 2020', 'new deaths', '39']['May 21, 2020', 'new recoveries', '490']
['May 22, 2020', 'active cases', '12334']['May 22, 2020', 'new cases', '692']['May 22, 2020', 'new deaths', '43']['May 22, 2020', 'new recoveries', '692']
['May 23, 2020', 'active cases', '11693']['May 23, 2020', 'new cases', '273']['May 23, 2020', 'new deaths', '14']['May 23, 2020', 'new recoveries', '273']
['May 24, 2020', 'active cases', '11630']['May 24, 2020', 'new cases', '342']['May 24, 2020', 'new deaths', '5']['May 24, 2020', 'new recoveries', '342']
['May 25, 2020', 'active cases', '11134']['May 25, 2020', 'new cases', '461']['May 25, 2020', 'new deaths', '57']['May 25, 2020', 'new recoveries', '461']
['May 26, 2020', 'active cases', '10763']['May 26, 2020', 'new cases', '499']['May 26, 2020', 'new deaths', '70']['May 26, 2020', 'new recoveries', '499']
['May 27, 2020', 'active cases', '10535']['May 27, 2020', 'new cases', '607']['May 27, 2020', 'new deaths', '35']['May 27, 2020', 'new recoveries', '607']
['May 28, 2020', 'active cases', '10655']['May 28, 2020', 'new cases', '557']['May 28, 2020', 'new deaths', '37']['May 28, 2020', 'new recoveries', '557']
['May 29, 2020', 'active cases', '10298']['May 29, 2020', 'new cases', '567']['May 29, 2020', 'new deaths', '24']['May 29, 2020', 'new recoveries', '567']
['May 30, 2020', 'active cases', '9767']['May 30, 2020', 'new cases', '275']['May 30, 2020', 'new deaths', '6']['May 30, 2020', 'new recoveries', '275']
['May 31, 2020', 'active cases', '9662']['May 31, 2020', 'new cases', '200']['May 31, 2020', 'new deaths', '5']['May 31, 2020', 'new recoveries', '200']
['Jun 01, 2020', 'active cases', '9220']['Jun 01, 2020', 'new cases', '271']['Jun 01, 2020', 'new deaths', '13']['Jun 01, 2020', 'new recoveries', '271']
['Jun 02, 2020', 'active cases', '8990']['Jun 02, 2020', 'new cases', '326']['Jun 02, 2020', 'new deaths', '56']['Jun 02, 2020', 'new recoveries', '326']
['Jun 03, 2020', 'active cases', '8399']['Jun 03, 2020', 'new cases', '334']['Jun 03, 2020', 'new deaths', '25']['Jun 03, 2020', 'new recoveries', '334']
['Jun 04, 2020', 'active cases', '8360']['Jun 04, 2020', 'new cases', '498']['Jun 04, 2020', 'new deaths', '37']['Jun 04, 2020', 'new recoveries', '498']
['Jun 05, 2020', 'active cases', '8124']['Jun 05, 2020', 'new cases', '491']['Jun 05, 2020', 'new deaths', '27']['Jun 05, 2020', 'new recoveries', '491']
['Jun 06, 2020', 'active cases', '8000']['Jun 06, 2020', 'new cases', '282']['Jun 06, 2020', 'new deaths', '6']['Jun 06, 2020', 'new recoveries', '282']
['Jun 07, 2020', 'active cases', '7966']['Jun 07, 2020', 'new cases', '173']['Jun 07, 2020', 'new deaths', '7']['Jun 07, 2020', 'new recoveries', '173']
['Jun 08, 2020', 'active cases', '7795']['Jun 08, 2020', 'new cases', '336']['Jun 08, 2020', 'new deaths', '7']['Jun 08, 2020', 'new recoveries', '336']
['Jun 09, 2020', 'active cases', '7458']['Jun 09, 2020', 'new cases', '311']['Jun 09, 2020', 'new deaths', '48']['Jun 09, 2020', 'new recoveries', '311']
['Jun 10, 2020', 'active cases', '6945']['Jun 10, 2020', 'new cases', '0']['Jun 10, 2020', 'new deaths', '13']['Jun 10, 2020', 'new recoveries', '0']
['Jun 11, 2020', 'active cases', '6717']['Jun 11, 2020', 'new cases', '279']['Jun 11, 2020', 'new deaths', '7']['Jun 11, 2020', 'new recoveries', '279']
['Jun 12, 2020', 'active cases', '6761']['Jun 12, 2020', 'new cases', '456']['Jun 12, 2020', 'new deaths', '12']['Jun 12, 2020', 'new recoveries', '456']
['Jun 13, 2020', 'active cases', '6629']['Jun 13, 2020', 'new cases', '172']['Jun 13, 2020', 'new deaths', '4']['Jun 13, 2020', 'new recoveries', '172']
['Jun 14, 2020', 'active cases', '6574']['Jun 14, 2020', 'new cases', '248']['Jun 14, 2020', 'new deaths', '3']['Jun 14, 2020', 'new recoveries', '248']
['Jun 15, 2020', 'active cases', '6532']['Jun 15, 2020', 'new cases', '373']['Jun 15, 2020', 'new deaths', '15']['Jun 15, 2020', 'new recoveries', '373']
['Jun 16, 2020', 'active cases', '6345']['Jun 16, 2020', 'new cases', '338']['Jun 16, 2020', 'new deaths', '25']['Jun 16, 2020', 'new recoveries', '338']
['Jun 17, 2020', 'active cases', '6950']['Jun 17, 2020', 'new cases', '1122']['Jun 17, 2020', 'new deaths', '17']['Jun 17, 2020', 'new recoveries', '1122']
['Jun 18, 2020', 'active cases', '7053']['Jun 18, 2020', 'new cases', '622']['Jun 18, 2020', 'new deaths', '19']['Jun 18, 2020', 'new recoveries', '622']
['Jun 19, 2020', 'active cases', '7273']['Jun 19, 2020', 'new cases', '534']['Jun 19, 2020', 'new deaths', '14']['Jun 19, 2020', 'new recoveries', '534']
['Jun 20, 2020', 'active cases', '7528']['Jun 20, 2020', 'new cases', '556']['Jun 20, 2020', 'new deaths', '1']['Jun 20, 2020', 'new recoveries', '556']
['Jun 21, 2020', 'active cases', '7686']['Jun 21, 2020', 'new cases', '359']['Jun 21, 2020', 'new deaths', '1']['Jun 21, 2020', 'new recoveries', '359']
['Jun 22, 2020', 'active cases', '7823']['Jun 22, 2020', 'new cases', '544']['Jun 22, 2020', 'new deaths', '7']['Jun 22, 2020', 'new recoveries', '544']
['Jun 23, 2020', 'active cases', '8065']['Jun 23, 2020', 'new cases', '659']['Jun 23, 2020', 'new deaths', '17']['Jun 23, 2020', 'new recoveries', '659']
['Jun 24, 2020', 'active cases', '7924']['Jun 24, 2020', 'new cases', '476']['Jun 24, 2020', 'new deaths', '17']['Jun 24, 2020', 'new recoveries', '476']
['Jun 25, 2020', 'active cases', '7946']['Jun 25, 2020', 'new cases', '531']['Jun 25, 2020', 'new deaths', '9']['Jun 25, 2020', 'new recoveries', '531']
['Jun 26, 2020', 'active cases', '8246']['Jun 26, 2020', 'new cases', '614']['Jun 26, 2020', 'new deaths', '14']['Jun 26, 2020', 'new recoveries', '614']
