['Apr 23, 2020', 'active cases', '6245']['Apr 23, 2020', 'new cases', '1077']['Apr 23, 2020', 'new deaths', '212']['Apr 23, 2020', 'new recoveries', '1077']
['Apr 24, 2020', 'active cases', '7156']['Apr 24, 2020', 'new cases', '1124']['Apr 24, 2020', 'new deaths', '213']['Apr 24, 2020', 'new recoveries', '1124']
['Apr 25, 2020', 'active cases', '3689']['Apr 25, 2020', 'new cases', '1279']['Apr 25, 2020', 'new deaths', '224']['Apr 25, 2020', 'new recoveries', '1279']
['Apr 26, 2020', 'active cases', '4429']['Apr 26, 2020', 'new cases', '1001']['Apr 26, 2020', 'new deaths', '261']['Apr 26, 2020', 'new recoveries', '1001']
['Apr 27, 2020', 'active cases', '3810']['Apr 27, 2020', 'new cases', '862']['Apr 27, 2020', 'new deaths', '276']['Apr 27, 2020', 'new recoveries', '862']
['Apr 28, 2020', 'active cases', '3653']['Apr 28, 2020', 'new cases', '880']['Apr 28, 2020', 'new deaths', '305']['Apr 28, 2020', 'new recoveries', '880']
['Apr 29, 2020', 'active cases', '2303']['Apr 29, 2020', 'new cases', '1263']['Apr 29, 2020', 'new deaths', '276']['Apr 29, 2020', 'new recoveries', '1263']
['Apr 30, 2020', 'active cases', '3071']['Apr 30, 2020', 'new cases', '1081']['Apr 30, 2020', 'new deaths', '313']['Apr 30, 2020', 'new recoveries', '1081']
['May 01, 2020', 'active cases', '4161']['May 01, 2020', 'new cases', '1471']['May 01, 2020', 'new deaths', '381']['May 01, 2020', 'new recoveries', '1471']
['May 02, 2020', 'active cases', '4424']['May 02, 2020', 'new cases', '1564']['May 02, 2020', 'new deaths', '347']['May 02, 2020', 'new recoveries', '1564']
['May 03, 2020', 'active cases', '4341']['May 03, 2020', 'new cases', '1393']['May 03, 2020', 'new deaths', '406']['May 03, 2020', 'new recoveries', '1393']
['May 04, 2020', 'active cases', '5420']['May 04, 2020', 'new cases', '1428']['May 04, 2020', 'new deaths', '349']['May 04, 2020', 'new recoveries', '1428']
['May 05, 2020', 'active cases', '4052']['May 05, 2020', 'new cases', '1480']['May 05, 2020', 'new deaths', '357']['May 05, 2020', 'new recoveries', '1480']
['May 06, 2020', 'active cases', '3888']['May 06, 2020', 'new cases', '1156']['May 06, 2020', 'new deaths', '448']['May 06, 2020', 'new recoveries', '1156']
['May 07, 2020', 'active cases', '4137']['May 07, 2020', 'new cases', '1661']['May 07, 2020', 'new deaths', '441']['May 07, 2020', 'new recoveries', '1661']
['May 08, 2020', 'active cases', '5784']['May 08, 2020', 'new cases', '2046']['May 08, 2020', 'new deaths', '399']['May 08, 2020', 'new recoveries', '2046']
['May 09, 2020', 'active cases', '4823']['May 09, 2020', 'new cases', '1968']['May 09, 2020', 'new deaths', '396']['May 09, 2020', 'new recoveries', '1968']
['May 10, 2020', 'active cases', '4882']['May 10, 2020', 'new cases', '2001']['May 10, 2020', 'new deaths', '432']['May 10, 2020', 'new recoveries', '2001']
['May 11, 2020', 'active cases', '4811']['May 11, 2020', 'new cases', '1613']['May 11, 2020', 'new deaths', '408']['May 11, 2020', 'new recoveries', '1613']
['May 12, 2020', 'active cases', '5720']['May 12, 2020', 'new cases', '1347']['May 12, 2020', 'new deaths', '438']['May 12, 2020', 'new recoveries', '1347']
['May 13, 2020', 'active cases', '4500']['May 13, 2020', 'new cases', '2062']['May 13, 2020', 'new deaths', '447']['May 13, 2020', 'new recoveries', '2062']
['May 14, 2020', 'active cases', '4890']['May 14, 2020', 'new cases', '1922']['May 14, 2020', 'new deaths', '477']['May 14, 2020', 'new recoveries', '1922']
['May 15, 2020', 'active cases', '5405']['May 15, 2020', 'new cases', '2487']['May 15, 2020', 'new deaths', '487']['May 15, 2020', 'new recoveries', '2487']
['May 16, 2020', 'active cases', '5407']['May 16, 2020', 'new cases', '2516']['May 16, 2020', 'new deaths', '538']['May 16, 2020', 'new recoveries', '2516']
['May 17, 2020', 'active cases', '5645']['May 17, 2020', 'new cases', '2180']['May 17, 2020', 'new deaths', '545']['May 17, 2020', 'new recoveries', '2180']
['May 18, 2020', 'active cases', '5782']['May 18, 2020', 'new cases', '2142']['May 18, 2020', 'new deaths', '524']['May 18, 2020', 'new recoveries', '2142']
['May 19, 2020', 'active cases', '5639']['May 19, 2020', 'new cases', '2492']['May 19, 2020', 'new deaths', '576']['May 19, 2020', 'new recoveries', '2492']
['May 20, 2020', 'active cases', '5925']['May 20, 2020', 'new cases', '2801']['May 20, 2020', 'new deaths', '578']['May 20, 2020', 'new recoveries', '2801']
['May 21, 2020', 'active cases', '6120']['May 21, 2020', 'new cases', '2321']['May 21, 2020', 'new deaths', '575']['May 21, 2020', 'new recoveries', '2321']
['May 22, 2020', 'active cases', '6850']['May 22, 2020', 'new cases', '3069']['May 22, 2020', 'new deaths', '558']['May 22, 2020', 'new recoveries', '3069']
['May 23, 2020', 'active cases', '7271']['May 23, 2020', 'new cases', '3056']['May 23, 2020', 'new deaths', '567']['May 23, 2020', 'new recoveries', '3056']
['May 24, 2020', 'active cases', '7972']['May 24, 2020', 'new cases', '3437']['May 24, 2020', 'new deaths', '542']['May 24, 2020', 'new recoveries', '3437']
['May 25, 2020', 'active cases', '7784']['May 25, 2020', 'new cases', '2854']['May 25, 2020', 'new deaths', '537']['May 25, 2020', 'new recoveries', '2854']
['May 26, 2020', 'active cases', '7292']['May 26, 2020', 'new cases', '2566']['May 26, 2020', 'new deaths', '592']['May 26, 2020', 'new recoveries', '2566']
['May 27, 2020', 'active cases', '7916']['May 27, 2020', 'new cases', '3567']['May 27, 2020', 'new deaths', '614']['May 27, 2020', 'new recoveries', '3567']
['May 28, 2020', 'active cases', '8718']['May 28, 2020', 'new cases', '3575']['May 28, 2020', 'new deaths', '609']['May 28, 2020', 'new recoveries', '3575']
['May 29, 2020', 'active cases', '9362']['May 29, 2020', 'new cases', '3487']['May 29, 2020', 'new deaths', '588']['May 29, 2020', 'new recoveries', '3487']
['May 30, 2020', 'active cases', '9110']['May 30, 2020', 'new cases', '3332']['May 30, 2020', 'new deaths', '612']['May 30, 2020', 'new recoveries', '3332']
['May 31, 2020', 'active cases', '9262']['May 31, 2020', 'new cases', '2979']['May 31, 2020', 'new deaths', '566']['May 31, 2020', 'new recoveries', '2979']
['Jun 01, 2020', 'active cases', '9468']['Jun 01, 2020', 'new cases', '3254']['Jun 01, 2020', 'new deaths', '593']['Jun 01, 2020', 'new recoveries', '3254']
['Jun 02, 2020', 'active cases', '8541']['Jun 02, 2020', 'new cases', '2861']['Jun 02, 2020', 'new deaths', '623']['Jun 02, 2020', 'new recoveries', '2861']
