['May 07, 2020', 'new deaths', '178']
['May 08, 2020', 'new deaths', '243']
['May 09, 2020', 'new deaths', '80']
['May 10, 2020', 'new deaths', '70']
['May 11, 2020', 'new deaths', '263']
['May 12, 2020', 'new deaths', '348']
['May 13, 2020', 'new deaths', '83']
['May 14, 2020', 'new deaths', '351']
['May 15, 2020', 'new deaths', '104']
['May 16, 2020', 'new deaths', '96']
['May 17, 2020', 'new deaths', '146']
['May 18, 2020', 'new deaths', '131']
['May 19, 2020', 'new deaths', '119']
['May 20, 2020', 'new deaths', '110']
['May 21, 2020', 'new deaths', '83']
['May 22, 2020', 'new deaths', '74']
['May 23, 2020', 'new deaths', '43']
['May 24, 2020', 'new deaths', '35']
['May 25, 2020', 'new deaths', '65']
['May 26, 2020', 'new deaths', '98']
['May 27, 2020', 'new deaths', '66']
['May 28, 2020', 'new deaths', '66']
['May 29, 2020', 'new deaths', '52']
['May 30, 2020', 'new deaths', '57']
['May 31, 2020', 'new deaths', '31']
['Jun 01, 2020', 'new deaths', '31']
['Jun 02, 2020', 'new deaths', '107']
['Jun 03, 2020', 'new deaths', '81']
['Jun 04, 2020', 'new deaths', '44']
['Jun 05, 2020', 'new deaths', '46']
['Jun 06, 2020', 'new deaths', '31']
['Jun 07, 2020', 'new deaths', '13']
['Jun 08, 2020', 'new deaths', '54']
['Jun 09, 2020', 'new deaths', '87']
['Jun 10, 2020', 'new deaths', '23']
['Jun 11, 2020', 'new deaths', '27']
['Jun 12, 2020', 'new deaths', '28']
['Jun 13, 2020', 'new deaths', '24']
['Jun 14, 2020', 'new deaths', '9']
['Jun 15, 2020', 'new deaths', '29']
['Jun 16, 2020', 'new deaths', '111']
['Jun 17, 2020', 'new deaths', '28']
['Jun 18, 2020', 'new deaths', '28']
['Jun 19, 2020', 'new deaths', '14']
['Jun 20, 2020', 'new deaths', '16']
['Jun 21, 2020', 'new deaths', '7']
['Jun 22, 2020', 'new deaths', '23']
['Jun 23, 2020', 'new deaths', '57']
['Jun 24, 2020', 'new deaths', '11']
['Jun 25, 2020', 'new deaths', '21']
['Jun 26, 2020', 'new deaths', '26']
['Jun 27, 2020', 'new deaths', '8']
['Jun 28, 2020', 'new deaths', '9']
['Jun 29, 2020', 'new deaths', '18']
['Jun 30, 2020', 'new deaths', '30']
['Jul 01, 2020', 'new deaths', '18']
['Jul 02, 2020', 'new deaths', '14']
['Jul 03, 2020', 'new deaths', '18']
['Jul 04, 2020', 'new deaths', '7']
['Jul 05, 2020', 'new deaths', '7']
['Jul 06, 2020', 'new deaths', '13']
['Jul 07, 2020', 'new deaths', '13']
['Jul 08, 2020', 'new deaths', '32']
['Jul 09, 2020', 'new deaths', '14']
['Jul 10, 2020', 'new deaths', '25']
['Jul 11, 2020', 'new deaths', '4']
