['Sep 19, 2020', 'active cases', '154141']
['Sep 20, 2020', 'active cases', '161167']
['Sep 21, 2020', 'active cases', '161464']
['Sep 22, 2020', 'active cases', '164271']
['Sep 23, 2020', 'active cases', '169822']
['Sep 24, 2020', 'active cases', '176504']
['Sep 25, 2020', 'active cases', '183305']
['Sep 26, 2020', 'active cases', '190194']
['Sep 27, 2020', 'active cases', '196688']
['Sep 28, 2020', 'active cases', '194366']
['Sep 29, 2020', 'active cases', '193872']
['Sep 30, 2020', 'active cases', '196689']
['Oct 01, 2020', 'active cases', '200972']
['Oct 02, 2020', 'active cases', '202461']
['Oct 03, 2020', 'active cases', '211647']
['Oct 04, 2020', 'active cases', '217660']
['Oct 05, 2020', 'active cases', '215062']
['Oct 06, 2020', 'active cases', '215723']
['Oct 07, 2020', 'active cases', '223374']
['Oct 08, 2020', 'active cases', '227985']
['Oct 09, 2020', 'active cases', '234405']
['Oct 10, 2020', 'active cases', '249727']
['Oct 11, 2020', 'active cases', '259865']
['Oct 12, 2020', 'active cases', '258454']
['Oct 13, 2020', 'active cases', '258380']
['Oct 14, 2020', 'active cases', '264475']
['Oct 15, 2020', 'active cases', '278386']
['Oct 16, 2020', 'active cases', '288403']
['Oct 17, 2020', 'active cases', '308396']
['Oct 18, 2020', 'active cases', '332577']
['Oct 19, 2020', 'active cases', '337450']
['Oct 20, 2020', 'active cases', '344604']
['Oct 21, 2020', 'active cases', '356528']
['Oct 22, 2020', 'active cases', '384188']
['Oct 23, 2020', 'active cases', '407706']
['Oct 24, 2020', 'active cases', '438540']
['Oct 25, 2020', 'active cases', '482577']
['Oct 26, 2020', 'active cases', '497857']
['Oct 27, 2020', 'active cases', '511625']
['Oct 28, 2020', 'active cases', '528806']
['Oct 29, 2020', 'active cases', '554424']
['Oct 30, 2020', 'active cases', '575369']
['Oct 31, 2020', 'active cases', '593706']
['Nov 01, 2020', 'active cases', '630983']
['Nov 02, 2020', 'active cases', '669894']
['Nov 03, 2020', 'active cases', '684606']
['Nov 04, 2020', 'active cases', '695750']
['Nov 05, 2020', 'active cases', '728500']
['Nov 06, 2020', 'active cases', '756650']
['Nov 07, 2020', 'active cases', '811974']
['Nov 08, 2020', 'active cases', '837605']
['Nov 09, 2020', 'active cases', '839129']
['Nov 10, 2020', 'active cases', '836727']
['Nov 11, 2020', 'active cases', '833155']
['Nov 12, 2020', 'active cases', '826658']
['Nov 13, 2020', 'active cases', '808179']
['Nov 14, 2020', 'active cases', '791308']
['Nov 15, 2020', 'active cases', '793555']
['Nov 16, 2020', 'active cases', '772840']
['Nov 17, 2020', 'active cases', '752276']
['Nov 18, 2020', 'active cases', '734207']
['Nov 19, 2020', 'active cases', '707870']
['Nov 20, 2020', 'active cases', '695896']
['Nov 21, 2020', 'active cases', '667418']
['Nov 22, 2020', 'active cases', '628661']
['Nov 23, 2020', 'active cases', '596927']
['Nov 24, 2020', 'active cases', '565638']
['Nov 25, 2020', 'active cases', '524626']
['Nov 26, 2020', 'active cases', '478773']
['Nov 27, 2020', 'active cases', '407141']
['Nov 28, 2020', 'active cases', '380888']
['Nov 29, 2020', 'active cases', '369338']
['Nov 30, 2020', 'active cases', '350464']
['Dec 01, 2020', 'active cases', '322561']
['Dec 02, 2020', 'active cases', '302811']
['Dec 03, 2020', 'active cases', '290578']
['Dec 04, 2020', 'active cases', '269171']
['Dec 05, 2020', 'active cases', '253928']
['Dec 06, 2020', 'active cases', '253627']
['Dec 07, 2020', 'active cases', '243198']
['Dec 08, 2020', 'active cases', '229431']
['Dec 09, 2020', 'active cases', '223280']
['Dec 10, 2020', 'active cases', '214711']
['Dec 11, 2020', 'active cases', '210512']
['Dec 12, 2020', 'active cases', '211253']
['Dec 13, 2020', 'active cases', '217898']
['Dec 14, 2020', 'active cases', '212181']
['Dec 15, 2020', 'active cases', '207723']
['Dec 16, 2020', 'active cases', '211526']
['Dec 17, 2020', 'active cases', '216964']
['Dec 18, 2020', 'active cases', '219867']
['Dec 19, 2020', 'active cases', '227169']
['Dec 20, 2020', 'active cases', '235422']
['Dec 21, 2020', 'active cases', '233277']
['Dec 22, 2020', 'active cases', '231148']
['Dec 23, 2020', 'active cases', '233244']
['Dec 24, 2020', 'active cases', '243016']
['Dec 25, 2020', 'active cases', '249904']
['Dec 26, 2020', 'active cases', '242463']
['Dec 27, 2020', 'active cases', '247541']
['Dec 28, 2020', 'active cases', '237450']
['Dec 29, 2020', 'active cases', '234447']
['Dec 30, 2020', 'active cases', '246371']
['Dec 31, 2020', 'active cases', '252490']
['Jan 01, 2021', 'active cases', '257559']
['Jan 02, 2021', 'active cases', '249989']
['Jan 03, 2021', 'active cases', '258835']
['Jan 04, 2021', 'active cases', '251787']
['Jan 05, 2021', 'active cases', '254484']
['Jan 06, 2021', 'active cases', '261171']
['Jan 07, 2021', 'active cases', '266829']
['Jan 08, 2021', 'active cases', '268939']
['Jan 09, 2021', 'active cases', '275863']
['Jan 10, 2021', 'active cases', '285386']
['Jan 11, 2021', 'active cases', '277679']
['Jan 12, 2021', 'active cases', '282205']
['Jan 13, 2021', 'active cases', '284287']
['Jan 14, 2021', 'active cases', '285193']
['Jan 15, 2021', 'active cases', '302252']
['Jan 16, 2021', 'active cases', '314061']
