['Aug 19, 2020', 'new recoveries', '3544']
['Aug 20, 2020', 'new recoveries', '4477']
['Aug 21, 2020', 'new recoveries', '4304']
['Aug 22, 2020', 'new recoveries', '3380']
['Aug 23, 2020', 'new recoveries', '4596']
['Aug 24, 2020', 'new recoveries', '1835']
['Aug 25, 2020', 'new recoveries', '3101']
['Aug 26, 2020', 'new recoveries', '5095']
['Aug 27, 2020', 'new recoveries', '5735']
['Aug 28, 2020', 'new recoveries', '6925']
['Aug 29, 2020', 'new recoveries', '5117']
['Aug 30, 2020', 'new recoveries', '5080']
['Aug 31, 2020', 'new recoveries', '2892']
['Sep 01, 2020', 'new recoveries', '4675']
['Sep 02, 2020', 'new recoveries', '6585']
['Sep 03, 2020', 'new recoveries', '6716']
['Sep 04, 2020', 'new recoveries', '8423']
['Sep 05, 2020', 'new recoveries', '8024']
['Sep 06, 2020', 'new recoveries', '6636']
['Sep 07, 2020', 'new recoveries', '3944']
['Sep 08, 2020', 'new recoveries', '6141']
['Sep 09, 2020', 'new recoveries', '8049']
['Sep 10, 2020', 'new recoveries', '9237']
['Sep 11, 2020', 'new recoveries', '8827']
['Sep 12, 2020', 'new recoveries', '9911']
['Sep 13, 2020', 'new recoveries', '6741']
['Sep 14, 2020', 'new recoveries', '5779']
['Sep 15, 2020', 'new recoveries', '7369']
['Sep 16, 2020', 'new recoveries', '9182']
['Sep 17, 2020', 'new recoveries', '9941']
['Sep 18, 2020', 'new recoveries', '12402']
['Sep 19, 2020', 'new recoveries', '12667']
['Sep 20, 2020', 'new recoveries', '9918']
['Sep 21, 2020', 'new recoveries', '4972']
['Sep 22, 2020', 'new recoveries', '9392']
['Sep 23, 2020', 'new recoveries', '12267']
['Sep 24, 2020', 'new recoveries', '15105']
['Sep 25, 2020', 'new recoveries', '14825']
['Sep 26, 2020', 'new recoveries', '13525']
['Sep 27, 2020', 'new recoveries', '10438']
['Sep 28, 2020', 'new recoveries', '3819']
['Sep 29, 2020', 'new recoveries', '7555']
['Sep 30, 2020', 'new recoveries', '12054']
['Oct 01, 2020', 'new recoveries', '13110']
['Oct 02, 2020', 'new recoveries', '11400']
['Oct 03, 2020', 'new recoveries', '15927']
['Oct 04, 2020', 'new recoveries', '11792']
['Oct 05, 2020', 'new recoveries', '4771']
['Oct 06, 2020', 'new recoveries', '9843']
['Oct 07, 2020', 'new recoveries', '17592']
['Oct 08, 2020', 'new recoveries', '17013']
['Oct 09, 2020', 'new recoveries', '19087']
['Oct 10, 2020', 'new recoveries', '25240']
['Oct 11, 2020', 'new recoveries', '15110']
['Oct 12, 2020', 'new recoveries', '7981']
['Oct 13, 2020', 'new recoveries', '12193']
['Oct 14, 2020', 'new recoveries', '21200']
['Oct 15, 2020', 'new recoveries', '28736']
['Oct 16, 2020', 'new recoveries', '23542']
['Oct 17, 2020', 'new recoveries', '30431']
['Oct 18, 2020', 'new recoveries', '28000']
['Oct 19, 2020', 'new recoveries', '12428']
['Oct 20, 2020', 'new recoveries', '19208']
['Oct 21, 2020', 'new recoveries', '25034']
['Oct 22, 2020', 'new recoveries', '39060']
['Oct 23, 2020', 'new recoveries', '39445']
['Oct 24, 2020', 'new recoveries', '42626']
['Oct 25, 2020', 'new recoveries', '48808']
['Oct 26, 2020', 'new recoveries', '25123']
['Oct 27, 2020', 'new recoveries', '31360']
['Oct 28, 2020', 'new recoveries', '34194']
['Oct 29, 2020', 'new recoveries', '44705']
['Oct 30, 2020', 'new recoveries', '46185']
['Oct 31, 2020', 'new recoveries', '33447']
['Nov 01, 2020', 'new recoveries', '45258']
['Nov 02, 2020', 'new recoveries', '51104']
['Nov 03, 2020', 'new recoveries', '35912']
['Nov 04, 2020', 'new recoveries', '39880']
['Nov 05, 2020', 'new recoveries', '56292']
['Nov 06, 2020', 'new recoveries', '58581']
['Nov 07, 2020', 'new recoveries', '83324']
['Nov 08, 2020', 'new recoveries', '38059']
['Nov 09, 2020', 'new recoveries', '20732']
['Nov 10, 2020', 'new recoveries', '22632']
['Nov 11, 2020', 'new recoveries', '35488']
['Nov 12, 2020', 'new recoveries', '32948']
['Nov 13, 2020', 'new recoveries', '24147']
['Nov 14, 2020', 'new recoveries', '31937']
['Nov 15, 2020', 'new recoveries', '27370']
['Nov 16, 2020', 'new recoveries', '10645']
['Nov 17, 2020', 'new recoveries', '13630']
['Nov 18, 2020', 'new recoveries', '26636']
['Nov 19, 2020', 'new recoveries', '19848']
['Nov 20, 2020', 'new recoveries', '21473']
['Nov 21, 2020', 'new recoveries', '16780']
['Nov 22, 2020', 'new recoveries', '12347']
['Nov 23, 2020', 'new recoveries', '4178']
['Nov 24, 2020', 'new recoveries', '8591']
['Nov 25, 2020', 'new recoveries', '15280']
['Nov 26, 2020', 'new recoveries', '12728']
['Nov 27, 2020', 'new recoveries', '11692']
['Nov 28, 2020', 'new recoveries', '11806']
['Nov 29, 2020', 'new recoveries', '9182']
['Nov 30, 2020', 'new recoveries', '3758']
['Dec 01, 2020', 'new recoveries', '7585']
['Dec 02, 2020', 'new recoveries', '13198']
['Dec 03, 2020', 'new recoveries', '11914']
['Dec 04, 2020', 'new recoveries', '10530']
['Dec 05, 2020', 'new recoveries', '12127']
['Dec 06, 2020', 'new recoveries', '10344']
['Dec 07, 2020', 'new recoveries', '3201']
['Dec 08, 2020', 'new recoveries', '12869']
['Dec 09, 2020', 'new recoveries', '13697']
['Dec 10, 2020', 'new recoveries', '12904']
['Dec 11, 2020', 'new recoveries', '12581']
['Dec 12, 2020', 'new recoveries', '13088']
['Dec 13, 2020', 'new recoveries', '10823']
['Dec 14, 2020', 'new recoveries', '2874']
['Dec 15, 2020', 'new recoveries', '10822']
['Dec 16, 2020', 'new recoveries', '16531']
['Dec 17, 2020', 'new recoveries', '17130']
['Dec 18, 2020', 'new recoveries', '14709']
['Dec 19, 2020', 'new recoveries', '16484']
['Dec 20, 2020', 'new recoveries', '12011']
['Dec 21, 2020', 'new recoveries', '5440']
['Dec 22, 2020', 'new recoveries', '11069']
['Dec 23, 2020', 'new recoveries', '14010']
['Dec 24, 2020', 'new recoveries', '20302']
['Dec 25, 2020', 'new recoveries', '19015']
['Dec 26, 2020', 'new recoveries', '2903']
['Dec 27, 2020', 'new recoveries', '8279']
['Dec 28, 2020', 'new recoveries', '2778']
['Dec 29, 2020', 'new recoveries', '10694']
['Dec 30, 2020', 'new recoveries', '24828']
['Dec 31, 2020', 'new recoveries', '18700']
['Jan 01, 2021', 'new recoveries', '18157']
['Jan 02, 2021', 'new recoveries', '3253']
['Jan 03, 2021', 'new recoveries', '11720']
['Jan 04, 2021', 'new recoveries', '3774']
['Jan 05, 2021', 'new recoveries', '19228']
['Jan 06, 2021', 'new recoveries', '23817']
['Jan 07, 2021', 'new recoveries', '20367']
['Jan 08, 2021', 'new recoveries', '18594']
['Jan 09, 2021', 'new recoveries', '18935']
['Jan 10, 2021', 'new recoveries', '14963']
['Jan 11, 2021', 'new recoveries', '3362']
['Jan 12, 2021', 'new recoveries', '18536']
['Jan 13, 2021', 'new recoveries', '22384']
['Jan 14, 2021', 'new recoveries', '19921']
['Jan 15, 2021', 'new recoveries', '19962']
['Jan 16, 2021', 'new recoveries', '20088']
['Jan 17, 2021', 'new recoveries', '15618']
['Jan 18, 2021', 'new recoveries', '3506']
['Jan 19, 2021', 'new recoveries', '22155']
['Jan 20, 2021', 'new recoveries', '25135']
['Jan 21, 2021', 'new recoveries', '21442']
['Jan 22, 2021', 'new recoveries', '21858']
['Jan 23, 2021', 'new recoveries', '22451']
['Jan 24, 2021', 'new recoveries', '17301']
['Jan 25, 2021', 'new recoveries', '3979']
['Jan 26, 2021', 'new recoveries', '20726']
['Jan 27, 2021', 'new recoveries', '25259']
['Jan 28, 2021', 'new recoveries', '22307']
['Jan 29, 2021', 'new recoveries', '21451']
['Jan 30, 2021', 'new recoveries', '22890']
['Jan 31, 2021', 'new recoveries', '18051']
['Feb 01, 2021', 'new recoveries', '4079']
['Feb 02, 2021', 'new recoveries', '21900']
['Feb 03, 2021', 'new recoveries', '24739']
['Feb 04, 2021', 'new recoveries', '22005']
['Feb 05, 2021', 'new recoveries', '20776']
['Feb 06, 2021', 'new recoveries', '19319']
['Feb 07, 2021', 'new recoveries', '18501']
['Feb 08, 2021', 'new recoveries', '4051']
['Feb 09, 2021', 'new recoveries', '17708']
['Feb 10, 2021', 'new recoveries', '23824']
['Feb 11, 2021', 'new recoveries', '19766']
['Feb 12, 2021', 'new recoveries', '19427']
['Feb 13, 2021', 'new recoveries', '19924']
['Feb 14, 2021', 'new recoveries', '15527']
['Feb 15, 2021', 'new recoveries', '4107']
['Feb 16, 2021', 'new recoveries', '18384']
['Feb 17, 2021', 'new recoveries', '23478']
['Feb 18, 2021', 'new recoveries', '21116']
['Feb 19, 2021', 'new recoveries', '22631']
['Feb 20, 2021', 'new recoveries', '20994']
['Feb 21, 2021', 'new recoveries', '20689']
['Feb 22, 2021', 'new recoveries', '4360']
['Feb 23, 2021', 'new recoveries', '18829']
['Feb 24, 2021', 'new recoveries', '29579']
['Feb 25, 2021', 'new recoveries', '23839']
['Feb 26, 2021', 'new recoveries', '23655']
['Feb 27, 2021', 'new recoveries', '22519']
['Feb 28, 2021', 'new recoveries', '18724']
['Mar 01, 2021', 'new recoveries', '4413']
['Mar 02, 2021', 'new recoveries', '21450']
['Mar 03, 2021', 'new recoveries', '25139']
['Mar 04, 2021', 'new recoveries', '23723']
['Mar 05, 2021', 'new recoveries', '22060']
['Mar 06, 2021', 'new recoveries', '21871']
['Mar 07, 2021', 'new recoveries', '20482']
['Mar 08, 2021', 'new recoveries', '4999']
['Mar 09, 2021', 'new recoveries', '21868']
['Mar 10, 2021', 'new recoveries', '28438']
['Mar 11, 2021', 'new recoveries', '25494']
['Mar 12, 2021', 'new recoveries', '23676']
['Mar 13, 2021', 'new recoveries', '27927']
['Mar 14, 2021', 'new recoveries', '24721']
['Mar 15, 2021', 'new recoveries', '6073']
['Mar 16, 2021', 'new recoveries', '28130']
['Mar 17, 2021', 'new recoveries', '36131']
['Mar 18, 2021', 'new recoveries', '32844']
['Mar 19, 2021', 'new recoveries', '32911']
['Mar 20, 2021', 'new recoveries', '33169']
['Mar 21, 2021', 'new recoveries', '28699']
['Mar 22, 2021', 'new recoveries', '35259']
['Mar 23, 2021', 'new recoveries', '23350']
['Mar 24, 2021', 'new recoveries', '31334']
['Mar 25, 2021', 'new recoveries', '42831']
['Mar 26, 2021', 'new recoveries', '39292']
['Mar 27, 2021', 'new recoveries', '39995']
['Mar 28, 2021', 'new recoveries', '34736']
['Mar 29, 2021', 'new recoveries', '26843']
['Mar 30, 2021', 'new recoveries', '26580']
['Mar 31, 2021', 'new recoveries', '39327']
['Apr 01, 2021', 'new recoveries', '47541']
['Apr 02, 2021', 'new recoveries', '43804']
['Apr 03, 2021', 'new recoveries', '18571']
['Apr 04, 2021', 'new recoveries', '57172']
['Apr 05, 2021', 'new recoveries', '11576']
['Apr 06, 2021', 'new recoveries', '54241']
['Apr 07, 2021', 'new recoveries', '28890']
['Apr 08, 2021', 'new recoveries', '14892']
['Apr 09, 2021', 'new recoveries', '38704']
['Apr 10, 2021', 'new recoveries', '40620']
['Apr 11, 2021', 'new recoveries', '32747']
['Apr 12, 2021', 'new recoveries', '8011']
['Apr 13, 2021', 'new recoveries', '36705']
['Apr 14, 2021', 'new recoveries', '40827']
['Apr 15, 2021', 'new recoveries', '35703']
['Apr 16, 2021', 'new recoveries', '34199']
['Apr 17, 2021', 'new recoveries', '33653']
