['Feb 06, 2021', 'new cases', '19319']
['Feb 07, 2021', 'new cases', '18501']
['Feb 08, 2021', 'new cases', '4051']
['Feb 09, 2021', 'new cases', '17708']
['Feb 10, 2021', 'new cases', '23824']
['Feb 11, 2021', 'new cases', '19766']
['Feb 12, 2021', 'new cases', '19427']
['Feb 13, 2021', 'new cases', '19924']
['Feb 14, 2021', 'new cases', '15527']
['Feb 15, 2021', 'new cases', '4107']
['Feb 16, 2021', 'new cases', '18384']
['Feb 17, 2021', 'new cases', '23478']
['Feb 18, 2021', 'new cases', '21116']
['Feb 19, 2021', 'new cases', '22631']
['Feb 20, 2021', 'new cases', '20994']
['Feb 21, 2021', 'new cases', '20689']
['Feb 22, 2021', 'new cases', '4360']
['Feb 23, 2021', 'new cases', '18829']
['Feb 24, 2021', 'new cases', '29579']
['Feb 25, 2021', 'new cases', '23839']
['Feb 26, 2021', 'new cases', '23655']
['Feb 27, 2021', 'new cases', '22519']
['Feb 28, 2021', 'new cases', '18724']
['Mar 01, 2021', 'new cases', '4413']
['Mar 02, 2021', 'new cases', '21450']
['Mar 03, 2021', 'new cases', '25139']
['Mar 04, 2021', 'new cases', '23723']
['Mar 05, 2021', 'new cases', '22060']
['Mar 06, 2021', 'new cases', '21871']
['Mar 07, 2021', 'new cases', '20482']
['Mar 08, 2021', 'new cases', '4999']
['Mar 09, 2021', 'new cases', '21868']
['Mar 10, 2021', 'new cases', '28438']
['Mar 11, 2021', 'new cases', '25494']
['Mar 12, 2021', 'new cases', '23676']
['Mar 13, 2021', 'new cases', '27927']
['Mar 14, 2021', 'new cases', '24721']
['Mar 15, 2021', 'new cases', '6073']
['Mar 16, 2021', 'new cases', '28130']
['Mar 17, 2021', 'new cases', '36131']
['Mar 18, 2021', 'new cases', '32844']
['Mar 19, 2021', 'new cases', '32911']
['Mar 20, 2021', 'new cases', '33169']
['Mar 21, 2021', 'new cases', '28699']
['Mar 22, 2021', 'new cases', '35259']
['Mar 23, 2021', 'new cases', '23350']
['Mar 24, 2021', 'new cases', '31334']
['Mar 25, 2021', 'new cases', '42831']
['Mar 26, 2021', 'new cases', '39292']
['Mar 27, 2021', 'new cases', '39995']
['Mar 28, 2021', 'new cases', '34736']
['Mar 29, 2021', 'new cases', '26843']
['Mar 30, 2021', 'new cases', '26580']
['Mar 31, 2021', 'new cases', '39327']
['Apr 01, 2021', 'new cases', '47541']
['Apr 02, 2021', 'new cases', '43804']
['Apr 03, 2021', 'new cases', '18571']
['Apr 04, 2021', 'new cases', '57172']
['Apr 05, 2021', 'new cases', '11576']
['Apr 06, 2021', 'new cases', '54241']
['Apr 07, 2021', 'new cases', '28890']
['Apr 08, 2021', 'new cases', '14892']
['Apr 09, 2021', 'new cases', '38704']
['Apr 10, 2021', 'new cases', '40620']
['Apr 11, 2021', 'new cases', '32747']
['Apr 12, 2021', 'new cases', '8011']
['Apr 13, 2021', 'new cases', '36705']
['Apr 14, 2021', 'new cases', '40827']
['Apr 15, 2021', 'new cases', '35703']
['Apr 16, 2021', 'new cases', '34199']
['Apr 17, 2021', 'new cases', '33653']
['Apr 18, 2021', 'new cases', '27538']
['Apr 19, 2021', 'new cases', '6847']
['Apr 20, 2021', 'new cases', '39882']
['Apr 21, 2021', 'new cases', '32815']
['Apr 22, 2021', 'new cases', '32205']
['Apr 23, 2021', 'new cases', '30349']
['Apr 24, 2021', 'new cases', '30624']
['Apr 25, 2021', 'new cases', '22959']
['Apr 26, 2021', 'new cases', '5586']
['Apr 27, 2021', 'new cases', '28451']
['Apr 28, 2021', 'new cases', '29598']
['Apr 29, 2021', 'new cases', '24904']
['Apr 30, 2021', 'new cases', '22803']
['May 01, 2021', 'new cases', '24090']
['May 02, 2021', 'new cases', '9279']
['May 03, 2021', 'new cases', '3529']
['May 04, 2021', 'new cases', '22871']
['May 05, 2021', 'new cases', '24400']
['May 06, 2021', 'new cases', '20375']
['May 07, 2021', 'new cases', '17947']
['May 08, 2021', 'new cases', '19468']
['May 09, 2021', 'new cases', '8566']
['May 10, 2021', 'new cases', '3089']
['May 11, 2021', 'new cases', '18573']
['May 12, 2021', 'new cases', '20175']
['May 13, 2021', 'new cases', '18263']
['May 14, 2021', 'new cases', '6593']
['May 15, 2021', 'new cases', '14719']
['May 16, 2021', 'new cases', '13089']
['May 17, 2021', 'new cases', '3144']
['May 18, 2021', 'new cases', '16151']
['May 19, 2021', 'new cases', '17877']
['May 20, 2021', 'new cases', '15415']
['May 21, 2021', 'new cases', '12800']
['May 22, 2021', 'new cases', '12611']
['May 23, 2021', 'new cases', '9704']
['May 24, 2021', 'new cases', '2229']
['May 25, 2021', 'new cases', '3155']
['May 26, 2021', 'new cases', '12646']
['May 27, 2021', 'new cases', '13933']
['May 28, 2021', 'new cases', '11268']
['May 29, 2021', 'new cases', '10675']
['May 30, 2021', 'new cases', '8541']
['May 31, 2021', 'new cases', '1211']
['Jun 01, 2021', 'new cases', '9848']
['Jun 02, 2021', 'new cases', '8743']
['Jun 03, 2021', 'new cases', '8161']
['Jun 04, 2021', 'new cases', '6953']
['Jun 05, 2021', 'new cases', '6654']
['Jun 06, 2021', 'new cases', '5070']
['Jun 07, 2021', 'new cases', '1166']
